AppID,Name,Published Date,Original Price,Discount Price,Discount %,Reviews Count,Reviews Positive,Review Label,Search Filter,Number Of Players,Controller Support,OS
1483870,Draw & Guess,"12 Mar, 2021",Rp 49 499,Rp 49 499,N/A,335,75%,Mostly Positive,topsellers,"Co-op, Multi-player, Online Co-op, Online PvP, PvP, Singleplayer",N/A,"SteamOS + Linux, Windows, macOS"
2543830,Way of the Hunter 2,"26 Mar, 2026",Rp 303 999,Rp 303 999,N/A,1036,75%,Mostly Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
552500,Warhammer: Vermintide 2,"8 Mar, 2018",Rp 245 999,Rp 245 999,N/A,43717,90%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
1340480,The Cosmic Wheel Sisterhood,"16 Aug, 2023",Rp 152 999,Rp 61 199,-60%,2751,94%,Very Positive,topsellers,Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
1371720,Card Shark,"2 Jun, 2022",Rp 165 999,Rp 33 199,-80%,902,88%,Very Positive,topsellers,Singleplayer,"Full Controller Support, Xbox Controller Support","Windows, macOS"
1149640,RimWorld - Royalty,"24 Feb, 2020",Rp 165 999,Rp 165 999,N/A,1563,85%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,N/A,"SteamOS + Linux, Windows, macOS"
3710910,"Warhammer 40,000: Darktide - Arbites Class","23 Jun, 2025",Rp 129 999,Rp 129 999,N/A,1261,64%,Mixed,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op",Xbox Controller Support,Windows
2737070,Crime Simulator,"17 Jun, 2025",Rp 129 999,Rp 129 999,N/A,1971,81%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Xbox Controller Support",Windows
719040,Wasteland 3,"27 Aug, 2020",Rp 169 999,Rp 50 999,-70%,11093,85%,Very Positive,topsellers,"Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op, Singleplayer",N/A,"SteamOS + Linux, Windows, macOS"
3819640,Megastore Simulator,"2 Feb, 2026",Rp 122 999,Rp 122 999,N/A,1364,93%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
3151390,Le Mans Ultimate - 2024 Pack 2,"24 Sep, 2024",Rp 114 999,Rp 74 749,-35%,21,85%,Positive,topsellers,"Multi-player, Online PvP, PvP, Singleplayer",Xbox Controller Support,Windows
204360,Castle Crashers®,"26 Sep, 2012",Rp 95 999,Rp 95 999,N/A,45108,97%,Overwhelmingly Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Online PvP, PvP, Shared/Split Screen, Shared/Split Screen Co-op, Shared/Split Screen PvP, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Steam Input API Support, Xbox Controller Support","Windows, macOS"
206480,Dungeons & Dragons Online®,"25 Jun, 2012",Free,Free,N/A,6079,71%,Mostly Positive,topsellers,"Co-op, Multi-player, PvP",N/A,Windows
1887840,Another Crab's Treasure,"25 Apr, 2024",Rp 230 000,Rp 115 000,-50%,9412,94%,Very Positive,topsellers,Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
203140,Hitman: Absolution™,"19 Nov, 2012",Rp 160 949,Rp 16 094,-90%,13864,88%,Very Positive,topsellers,Singleplayer,Xbox Controller Support,Windows
3293260,Waterpark Simulator,"22 Aug, 2025",Rp 99 000,Rp 99 000,N/A,7102,96%,Overwhelmingly Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
2060160,The Farmer Was Replaced,"10 Oct, 2025",Rp 90 999,Rp 90 999,N/A,3767,95%,Overwhelmingly Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,N/A,"Windows, macOS"
1124300,HUMANKIND™,"17 Aug, 2021",Rp 499 999,Rp 124 999,-75%,12224,69%,Mixed,topsellers,"Multi-player, Online PvP, PvP, Singleplayer",N/A,"Windows, macOS"
3419300,X4: Hyperion Pack,"20 Feb, 2025",Rp 65 000,Rp 52 000,-20%,480,88%,Very Positive,topsellers,Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support","SteamOS + Linux, Windows"
4544840,Warframe: Voruna Prime Access - Accessories Pack,"8 Apr, 2026",Rp 380 000,Rp 380 000,N/A,18,72%,Mostly Positive,topsellers,"Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Steam Input API Support, Xbox Controller Support",Windows
1627570,The Plucky Squire,"17 Sep, 2024",Rp 245 999,Rp 81 179,-67%,1079,81%,Very Positive,topsellers,Singleplayer,"Full Controller Support, Xbox Controller Support",Windows
1138850,Heavenly Bodies,"7 Dec, 2021",Rp 165 999,Rp 41 499,-75%,2191,96%,Overwhelmingly Positive,topsellers,"Co-op, Multi-player, Shared/Split Screen, Shared/Split Screen Co-op, Singleplayer","DualShock Controller Support, Full Controller Support, Gamepad Preferred, Xbox Controller Support","Windows, macOS"
3622640,Vending Machine Co.,"25 Apr, 2026",Rp 74 499,Rp 44 699,-40%,315,88%,Very Positive,topsellers,Singleplayer,N/A,"SteamOS + Linux, Windows, macOS"
3398110,The Walking Trade,"5 Mar, 2026",Rp 92 999,Rp 69 749,-25%,839,88%,Very Positive,topsellers,Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
4126220,Crusaders Quest : Hero Town,"30 Mar, 2026",Rp 65 000,Rp 52 000,-20%,280,81%,Very Positive,topsellers,Singleplayer,N/A,"Windows, macOS"
